id,app,price
1,Quo Lux,$8.82
2,Transcof,$4.16
3,Keylex,$8.50
4,Flexidy,$0.00
5,Konklux,$1.06
6,Y-find,$2.42
7,Viva,$2.64
8,It,$4.07
9,Tresom,$7.59
10,Quo Lux,$4.30
11,Keylex,$1.75
12,Bamity,$4.73
13,Sub-Ex,$0.05
14,Tres-Zap,$5.26
15,Fix San,$4.18
16,Zamit,$4.08
17,Zathin,$9.57
18,Vagram,$1.98
19,Voltsillam,$4.07
20,Asoka,$7.42
21,Treeflex,$4.23
22,Quo Lux,$0.68
23,Greenlam,$7.41
24,Stronghold,$6.55
25,Asoka,$7.83
26,Job,$4.19
27,Regrant,$7.93
28,Bigtax,$9.09
29,Asoka,$4.28
30,Bamity,$7.71
31,Sonsing,$0.98
32,Bytecard,$2.75
33,Quo Lux,$7.96
34,Konklux,$8.01
35,Bitchip,$3.82
36,Bitchip,$6.04
37,Bytecard,$7.86
38,Bitwolf,$1.69
39,Aerified,$1.30
40,Vagram,$2.19
41,Tempsoft,$3.57
42,Sonair,$4.11
43,Greenlam,$4.36
44,Kanlam,$3.07
45,Kanlam,$4.29
46,Subin,$6.00
47,Flexidy,$3.01
48,Opela,$7.19
49,Rank,$1.89
50,Zamit,$8.06
51,Stronghold,$3.39
52,Fixflex,$5.77
53,Cardify,$2.09
54,Cardguard,$3.54
55,Quo Lux,$3.73
56,Konklab,$6.82
57,Tin,$9.42
58,Regrant,$0.55
59,Latlux,$9.42
60,Duobam,$9.32
61,Stim,$7.69
62,Bamity,$5.04
63,Solarbreeze,$6.92
64,Flowdesk,$1.81
65,Asoka,$0.52
66,Konklab,$0.04
67,Job,$1.36
68,Bitchip,$8.29
69,Regrant,$2.94
70,Toughjoyfax,$0.90
71,Sonsing,$1.45
72,Daltfresh,$6.81
73,Zathin,$7.79
74,Latlux,$1.87
75,Fixflex,$3.92
76,Daltfresh,$3.32
77,Toughjoyfax,$3.62
78,Viva,$6.07
79,Tampflex,$6.21
80,Home Ing,$5.07
81,Sonair,$3.47
82,Bitwolf,$5.91
83,Vagram,$7.27
84,Voyatouch,$5.02
85,Bytecard,$0.66
86,Regrant,$7.90
87,Andalax,$0.83
88,Redhold,$9.26
89,Span,$3.99
90,Flowdesk,$1.12
91,Duobam,$2.62
92,Bitwolf,$7.52
93,Hatity,$4.35
94,Zaam-Dox,$2.67
95,Biodex,$6.52
96,Duobam,$4.95
97,Transcof,$0.93
98,Toughjoyfax,$8.82
99,Sub-Ex,$7.86
100,Domainer,$3.16
101,Otcom,$1.59
102,Aerified,$4.35
103,Quo Lux,$4.16
104,Solarbreeze,$4.96
105,Subin,$4.16
106,Tampflex,$2.15
107,Alphazap,$6.69
108,Konklux,$4.33
109,Holdlamis,$4.72
110,Cardify,$1.91
111,Bitwolf,$1.02
112,Toughjoyfax,$3.95
113,Job,$2.24
114,Duobam,$0.59
115,Tresom,$5.21
116,Voyatouch,$5.62
117,Cardify,$4.11
118,Overhold,$4.18
119,Voltsillam,$2.30
120,Prodder,$2.88
121,Fintone,$9.07
122,Greenlam,$9.76
123,Zoolab,$4.96
124,Voyatouch,$4.58
125,Stim,$5.95
126,Tin,$7.10
127,Andalax,$6.22
128,Ventosanzap,$6.40
129,Tres-Zap,$6.72
130,Job,$2.66
131,Rank,$8.57
132,Rank,$7.11
133,Trippledex,$1.69
134,Fixflex,$6.18
135,Job,$0.35
136,Bytecard,$9.44
137,Ronstring,$4.99
138,Konklab,$6.31
139,Lotlux,$0.68
140,Zaam-Dox,$4.71
141,Home Ing,$2.77
142,Cardguard,$2.57
143,Treeflex,$2.42
144,Konklab,$9.61
145,Subin,$9.55
146,Pannier,$5.59
147,Ventosanzap,$9.92
148,Cardify,$7.01
149,Zaam-Dox,$4.17
150,It,$8.03
151,Tin,$6.56
152,Duobam,$3.89
153,Fixflex,$9.24
154,Flowdesk,$4.50
155,Zamit,$4.53
156,Konklux,$3.89
157,Subin,$0.90
158,Konklux,$4.36
159,Lotstring,$6.86
160,Kanlam,$9.67
161,Tin,$7.44
162,Flowdesk,$0.80
163,Voyatouch,$7.82
164,Zamit,$2.35
165,Bytecard,$6.34
166,Zamit,$7.31
167,Rank,$2.51
168,Solarbreeze,$7.30
169,Subin,$9.49
170,Hatity,$7.43
171,Cardguard,$9.19
172,Temp,$7.47
173,Transcof,$1.38
174,Zoolab,$9.21
175,Trippledex,$1.00
176,Tempsoft,$9.16
177,Cardify,$8.97
178,Fintone,$6.30
179,Otcom,$3.48
180,Aerified,$0.72
181,It,$9.35
182,Cardify,$2.65
183,Pannier,$6.87
184,Tampflex,$4.67
185,Bigtax,$4.09
186,Lotlux,$1.30
187,Alphazap,$1.40
188,Fixflex,$5.85
189,Tampflex,$8.06
190,Cookley,$3.82
191,Zoolab,$1.83
192,Konklab,$2.41
193,Regrant,$4.70
194,Trippledex,$2.79
195,Asoka,$6.93
196,Viva,$6.03
197,Vagram,$0.12
198,Treeflex,$8.95
199,Duobam,$1.90
200,Temp,$8.98
201,Solarbreeze,$1.28
202,Otcom,$1.16
203,Greenlam,$2.51
204,Fix San,$4.28
205,Konklux,$0.30
206,Voltsillam,$2.04
207,Voltsillam,$9.39
208,Redhold,$5.82
209,Viva,$3.67
210,Bamity,$4.62
211,Home Ing,$0.21
212,Bytecard,$6.66
213,Alphazap,$5.87
214,Fintone,$5.44
215,Span,$0.67
216,Voyatouch,$1.65
217,Overhold,$2.70
218,Bitwolf,$6.70
219,Otcom,$6.14
220,Tresom,$5.63
221,Domainer,$9.26
222,Hatity,$6.13
223,Mat Lam Tam,$2.55
224,Biodex,$1.74
225,Pannier,$5.17
226,Voltsillam,$2.48
227,Tampflex,$7.83
228,Bitwolf,$3.57
229,Bamity,$0.04
230,Bitwolf,$2.80
231,Bitwolf,$7.16
232,Latlux,$2.34
233,Duobam,$1.39
234,Lotstring,$4.25
235,Toughjoyfax,$7.66
236,Voltsillam,$5.51
237,Cardify,$4.03
238,Bitchip,$7.49
239,Biodex,$8.76
240,Holdlamis,$8.22
241,Veribet,$3.19
242,Span,$2.51
243,Vagram,$9.57
244,Treeflex,$3.51
245,Job,$0.01
246,Zathin,$0.20
247,Home Ing,$0.69
248,Konklux,$0.64
249,Vagram,$7.40
250,Sonair,$0.81
251,Sub-Ex,$4.99
252,Trippledex,$8.52
253,Hatity,$5.88
254,Bigtax,$5.45
255,Bitchip,$5.63
256,Kanlam,$2.96
257,Regrant,$1.03
258,Temp,$7.12
259,Tresom,$0.31
260,Voyatouch,$2.01
261,Alphazap,$4.10
262,Zoolab,$9.01
263,Otcom,$7.46
264,Alphazap,$6.50
265,Stim,$6.61
266,Otcom,$7.45
267,Bitwolf,$4.95
268,Otcom,$3.53
269,Pannier,$3.05
270,Rank,$7.29
271,Latlux,$6.88
272,Zathin,$1.57
273,Latlux,$7.93
274,Bytecard,$0.87
275,Vagram,$1.61
276,Solarbreeze,$7.92
277,Y-Solowarm,$9.28
278,Lotlux,$5.52
279,Tempsoft,$3.50
280,Aerified,$2.53
281,Trippledex,$3.97
282,Lotlux,$0.59
283,Solarbreeze,$9.23
284,Quo Lux,$9.89
285,Fixflex,$6.69
286,Vagram,$7.96
287,Kanlam,$8.17
288,Stronghold,$3.19
289,Transcof,$2.17
290,Alphazap,$8.15
291,Quo Lux,$2.29
292,Voltsillam,$2.50
293,Voyatouch,$4.62
294,Fixflex,$2.63
295,Sonsing,$5.95
296,Zoolab,$1.30
297,Flowdesk,$8.45
298,Stringtough,$5.08
299,Voltsillam,$1.02
300,Biodex,$5.75
301,Wrapsafe,$2.48
302,Flowdesk,$4.06
303,Subin,$8.40
304,Y-find,$1.23
305,Mat Lam Tam,$6.88
306,Veribet,$6.47
307,Voyatouch,$7.74
308,Tempsoft,$8.84
309,Wrapsafe,$5.13
310,Domainer,$9.10
311,Fix San,$1.07
312,Job,$7.34
313,Vagram,$1.88
314,Overhold,$0.91
315,Bamity,$8.88
316,Y-Solowarm,$3.13
317,Hatity,$5.95
318,Konklux,$6.30
319,Ronstring,$8.92
320,Daltfresh,$2.36
321,Tampflex,$3.61
322,Subin,$3.10
323,Otcom,$5.82
324,Y-find,$3.22
325,Cardify,$8.35
326,Cardguard,$5.77
327,Cardguard,$4.26
328,Bytecard,$8.74
329,Stim,$9.63
330,Fix San,$5.44
331,Toughjoyfax,$8.65
332,Zontrax,$5.69
333,Temp,$1.73
334,Zathin,$7.74
335,Matsoft,$1.43
336,Namfix,$2.69
337,Konklux,$9.19
338,It,$1.01
339,Cardguard,$1.69
340,Lotlux,$0.72
341,Pannier,$5.70
342,Ronstring,$4.44
343,Alpha,$7.75
344,Zathin,$1.29
345,Daltfresh,$7.99
346,Asoka,$0.84
347,Prodder,$6.87
348,Namfix,$7.24
349,Job,$4.44
350,Bitchip,$2.08
351,Prodder,$9.82
352,Keylex,$4.96
353,It,$5.51
354,Fintone,$9.63
355,Andalax,$6.94
356,Fixflex,$7.87
357,Tres-Zap,$9.29
358,Viva,$3.92
359,Wrapsafe,$7.90
360,Daltfresh,$6.47
361,Mat Lam Tam,$2.46
362,Bamity,$1.68
363,Konklab,$0.53
364,Biodex,$3.35
365,Asoka,$4.71
366,Domainer,$1.51
367,Prodder,$9.51
368,Viva,$5.97
369,Subin,$0.62
370,Zontrax,$3.71
371,Tresom,$4.44
372,Stim,$6.28
373,Rank,$3.28
374,Matsoft,$4.16
375,Zaam-Dox,$8.47
376,Flowdesk,$0.82
377,Holdlamis,$2.77
378,Zamit,$1.29
379,Span,$3.38
380,Bitchip,$1.73
381,Transcof,$0.95
382,Mat Lam Tam,$7.12
383,Ronstring,$2.15
384,Quo Lux,$9.93
385,Job,$1.65
386,Home Ing,$8.37
387,Domainer,$6.12
388,Biodex,$2.05
389,Namfix,$0.00
390,Matsoft,$7.67
391,Vagram,$6.53
392,Fintone,$8.95
393,Andalax,$6.54
394,Treeflex,$7.32
395,Voltsillam,$2.47
396,Ronstring,$6.40
397,Namfix,$6.74
398,Prodder,$5.84
399,Pannier,$0.88
400,Holdlamis,$8.78
401,Cardify,$9.80
402,Tresom,$7.02
403,Solarbreeze,$4.63
404,Regrant,$8.81
405,Flowdesk,$1.51
406,Subin,$8.92
407,Fix San,$0.92
408,Otcom,$4.19
409,Vagram,$5.46
410,Biodex,$0.89
411,Vagram,$4.98
412,Bitwolf,$3.37
413,Home Ing,$4.26
414,Bytecard,$5.22
415,Cardguard,$4.25
416,Fixflex,$4.52
417,Tres-Zap,$5.40
418,Stringtough,$3.58
419,Stronghold,$4.03
420,Transcof,$0.46
421,Latlux,$0.31
422,Bamity,$7.32
423,Vagram,$3.20
424,Opela,$3.69
425,Matsoft,$6.83
426,Transcof,$2.49
427,Alphazap,$1.87
428,Sub-Ex,$5.24
429,Temp,$5.48
430,Viva,$7.36
431,Sonair,$4.25
432,Fix San,$7.73
433,Rank,$6.21
434,Andalax,$3.29
435,Bitchip,$4.48
436,Tempsoft,$3.40
437,Treeflex,$9.44
438,Namfix,$0.53
439,Asoka,$2.81
440,Biodex,$7.70
441,Gembucket,$6.18
442,Ronstring,$1.84
443,Kanlam,$7.26
444,Alpha,$8.44
445,Kanlam,$2.08
446,Treeflex,$5.11
447,Latlux,$1.32
448,Job,$8.50
449,Trippledex,$3.63
450,Voltsillam,$5.04
451,Bigtax,$8.97
452,Fixflex,$2.89
453,Treeflex,$9.10
454,Gembucket,$4.92
455,Bigtax,$5.38
456,Vagram,$1.55
457,Sub-Ex,$7.58
458,Prodder,$5.38
459,Ventosanzap,$3.76
460,Toughjoyfax,$9.30
461,Treeflex,$6.14
462,Zoolab,$3.86
463,Holdlamis,$0.54
464,Tresom,$6.94
465,Matsoft,$1.19
466,Zamit,$6.04
467,Overhold,$1.62
468,Sonair,$0.09
469,Fix San,$5.78
470,Alphazap,$9.10
471,Job,$9.90
472,Y-find,$9.83
473,Fintone,$9.69
474,Tampflex,$3.33
475,Asoka,$9.44
476,Flexidy,$0.20
477,Bytecard,$6.38
478,Bigtax,$1.37
479,Lotlux,$0.37
480,Duobam,$5.81
481,Job,$5.87
482,Cardify,$2.98
483,Wrapsafe,$9.20
484,Rank,$4.05
485,Regrant,$9.84
486,Keylex,$2.49
487,Span,$1.71
488,Asoka,$3.40
489,Fintone,$0.88
490,Hatity,$4.90
491,Holdlamis,$0.85
492,Asoka,$5.22
493,Bitwolf,$8.25
494,Cookley,$7.73
495,Domainer,$9.08
496,Latlux,$6.14
497,Y-Solowarm,$7.43
498,Namfix,$5.97
499,Zontrax,$4.00
500,Cookley,$8.39
501,Prodder,$1.26
502,Aerified,$0.31
503,Solarbreeze,$1.13
504,Overhold,$4.07
505,Asoka,$5.42
506,Stim,$1.67
507,Ventosanzap,$4.93
508,Asoka,$0.37
509,Cardguard,$3.94
510,Cardify,$9.93
511,Stronghold,$7.42
512,Home Ing,$5.12
513,Bitwolf,$8.04
514,Pannier,$4.89
515,Sonsing,$0.52
516,Treeflex,$6.90
517,Gembucket,$4.26
518,Fintone,$3.46
519,Matsoft,$7.91
520,Aerified,$8.05
521,Zamit,$4.16
522,Holdlamis,$9.05
523,Tres-Zap,$9.47
524,Latlux,$8.44
525,Y-Solowarm,$9.93
526,Ronstring,$9.76
527,Domainer,$5.97
528,Tempsoft,$5.94
529,Tresom,$3.59
530,Stronghold,$9.60
531,Mat Lam Tam,$5.49
532,Daltfresh,$5.73
533,Cardguard,$1.88
534,Veribet,$4.85
535,Duobam,$1.78
536,Stringtough,$5.83
537,Domainer,$6.74
538,Asoka,$4.93
539,Voyatouch,$1.73
540,Viva,$2.73
541,Veribet,$6.84
542,Kanlam,$2.18
543,Konklux,$7.33
544,Redhold,$5.43
545,Otcom,$0.04
546,Ronstring,$3.84
547,Bitchip,$4.26
548,Latlux,$3.55
549,Asoka,$0.36
550,Zaam-Dox,$9.23
551,Domainer,$9.38
552,Sonsing,$8.92
553,Overhold,$6.89
554,Tres-Zap,$9.97
555,Y-Solowarm,$6.39
556,Voyatouch,$3.84
557,Hatity,$8.21
558,Duobam,$4.07
559,Tres-Zap,$6.50
560,Biodex,$8.33
561,Bitwolf,$3.75
562,Fintone,$8.38
563,Andalax,$1.86
564,Fixflex,$9.62
565,Namfix,$3.88
566,Bigtax,$7.97
567,Treeflex,$2.25
568,Treeflex,$9.91
569,Hatity,$6.67
570,Kanlam,$3.26
571,Mat Lam Tam,$6.95
572,Aerified,$5.92
573,Duobam,$0.76
574,Viva,$4.23
575,Y-find,$9.63
576,Voltsillam,$2.58
577,Pannier,$6.15
578,Tempsoft,$3.80
579,Zoolab,$9.84
580,Ventosanzap,$5.55
581,Cardguard,$8.47
582,Tresom,$2.99
583,Daltfresh,$1.04
584,Cookley,$6.71
585,Vagram,$1.56
586,Mat Lam Tam,$6.33
587,Opela,$6.86
588,Tresom,$9.50
589,Kanlam,$8.02
590,Tampflex,$6.28
591,Temp,$8.73
592,Cardify,$5.04
593,Y-Solowarm,$8.09
594,Quo Lux,$6.47
595,Otcom,$7.52
596,It,$8.07
597,Opela,$7.51
598,Cardguard,$1.28
599,Tampflex,$6.68
600,Trippledex,$3.16
601,Greenlam,$5.26
602,Otcom,$7.33
603,Tin,$0.49
604,Sonsing,$0.61
605,Opela,$6.85
606,Zathin,$9.74
607,Bitchip,$5.76
608,Span,$3.60
609,Latlux,$0.49
610,Gembucket,$3.51
611,Flexidy,$3.53
612,Cookley,$0.05
613,Biodex,$8.81
614,Alpha,$9.12
615,Tin,$4.58
616,Tresom,$6.39
617,Quo Lux,$1.94
618,Hatity,$9.86
619,Stim,$9.04
620,Stronghold,$9.34
621,Zontrax,$9.48
622,Quo Lux,$8.13
623,Y-Solowarm,$8.98
624,Greenlam,$0.28
625,Cardguard,$1.73
626,Y-Solowarm,$8.18
627,Kanlam,$2.06
628,Toughjoyfax,$9.83
629,Sub-Ex,$0.21
630,Y-find,$3.57
631,Zontrax,$1.87
632,Keylex,$4.44
633,It,$7.75
634,Lotlux,$2.81
635,Tresom,$1.88
636,Overhold,$2.38
637,Viva,$5.61
638,Hatity,$9.52
639,Ventosanzap,$6.11
640,Tin,$7.17
641,Bitwolf,$0.12
642,Zaam-Dox,$6.83
643,Home Ing,$4.96
644,Tres-Zap,$7.45
645,Sonsing,$5.05
646,Andalax,$8.62
647,Zoolab,$2.07
648,Vagram,$1.12
649,Konklux,$2.53
650,Home Ing,$4.42
651,Temp,$6.68
652,Span,$3.17
653,Tin,$5.30
654,Zamit,$5.10
655,Zaam-Dox,$8.09
656,Cardify,$4.76
657,Home Ing,$6.92
658,Transcof,$8.82
659,Sonair,$3.68
660,Quo Lux,$0.27
661,Tres-Zap,$2.71
662,Fintone,$0.40
663,Ronstring,$3.28
664,Prodder,$1.09
665,Regrant,$0.19
666,Ronstring,$2.27
667,Holdlamis,$2.28
668,Voltsillam,$8.86
669,Tres-Zap,$4.53
670,Zaam-Dox,$8.45
671,Span,$7.76
672,Latlux,$3.36
673,Domainer,$5.62
674,Sonsing,$0.40
675,Lotstring,$8.59
676,Redhold,$7.94
677,Daltfresh,$8.02
678,Sub-Ex,$1.13
679,Tin,$3.69
680,Bamity,$2.03
681,Opela,$0.36
682,Matsoft,$9.08
683,Treeflex,$6.50
684,Voyatouch,$7.10
685,Bitwolf,$2.35
686,Tresom,$6.03
687,Zathin,$3.70
688,Home Ing,$9.79
689,Overhold,$0.77
690,Zoolab,$5.43
691,Trippledex,$0.82
692,Matsoft,$9.21
693,Tin,$2.45
694,Fix San,$4.54
695,Stringtough,$7.30
696,Quo Lux,$2.61
697,Span,$9.15
698,Vagram,$2.29
699,Redhold,$2.94
700,Vagram,$4.69
701,Quo Lux,$0.80
702,Solarbreeze,$0.56
703,Trippledex,$3.53
704,Toughjoyfax,$9.55
705,Job,$5.28
706,Alpha,$8.92
707,Konklux,$9.58
708,Daltfresh,$5.78
709,Veribet,$4.22
710,Ventosanzap,$7.50
711,Y-find,$7.29
712,Pannier,$5.84
713,Alpha,$7.51
714,It,$2.56
